,id,Y
0,0,7.0
1,1,4.0
2,2,7.0
3,3,5.0
4,4,3.0
5,5,4.0
6,6,2.0
7,7,7.0
8,8,9.0
9,9,4.0
10,10,0.0
11,11,4.0
12,12,0.0
13,13,2.0
14,14,1.0
15,15,9.0
16,16,0.0
17,17,7.0
18,18,3.0
19,19,1.0
20,20,3.0
21,21,8.0
22,22,6.0
23,23,1.0
24,24,1.0
25,25,8.0
26,26,3.0
27,27,1.0
28,28,0.0
29,29,0.0
30,30,3.0
31,31,0.0
32,32,2.0
33,33,0.0
34,34,0.0
35,35,4.0
36,36,1.0
37,37,3.0
38,38,3.0
39,39,3.0
40,40,8.0
41,41,2.0
42,42,0.0
43,43,7.0
44,44,6.0
45,45,4.0
46,46,7.0
47,47,9.0
48,48,4.0
49,49,2.0
50,50,1.0
51,51,4.0
52,52,0.0
53,53,2.0
54,54,3.0
55,55,2.0
56,56,0.0
57,57,4.0
58,58,3.0
59,59,4.0
60,60,7.0
61,61,0.0
62,62,2.0
63,63,0.0
64,64,0.0
65,65,3.0
66,66,2.0
67,67,1.0
68,68,1.0
69,69,8.0
70,70,9.0
71,71,9.0
72,72,2.0
73,73,9.0
74,74,1.0
75,75,8.0
76,76,8.0
77,77,4.0
78,78,4.0
79,79,8.0
80,80,3.0
81,81,3.0
82,82,9.0
83,83,4.0
84,84,5.0
85,85,8.0
86,86,2.0
87,87,8.0
88,88,6.0
89,89,2.0
90,90,4.0
91,91,9.0
92,92,8.0
93,93,4.0
94,94,9.0
95,95,9.0
96,96,3.0
97,97,8.0
98,98,7.0
99,99,8.0
100,100,4.0
101,101,0.0
102,102,7.0
103,103,9.0
104,104,7.0
105,105,8.0
106,106,7.0
107,107,4.0
108,108,6.0
109,109,6.0
110,110,7.0
111,111,0.0
112,112,8.0
113,113,1.0
114,114,3.0
115,115,2.0
116,116,7.0
117,117,8.0
118,118,7.0
119,119,1.0
120,120,3.0
121,121,5.0
122,122,2.0
123,123,2.0
124,124,1.0
125,125,1.0
126,126,6.0
127,127,2.0
128,128,0.0
129,129,0.0
130,130,1.0
131,131,2.0
132,132,9.0
133,133,1.0
134,134,3.0
135,135,6.0
136,136,3.0
137,137,5.0
138,138,5.0
139,139,3.0
140,140,7.0
141,141,2.0
142,142,3.0
143,143,6.0
144,144,7.0
145,145,3.0
146,146,4.0
147,147,8.0
148,148,3.0
149,149,8.0
150,150,0.0
151,151,9.0
152,152,0.0
153,153,2.0
154,154,8.0
155,155,3.0
156,156,8.0
157,157,1.0
158,158,8.0
159,159,7.0
160,160,1.0
161,161,7.0
162,162,2.0
163,163,8.0
164,164,7.0
165,165,4.0
166,166,1.0
167,167,2.0
168,168,3.0
169,169,3.0
170,170,2.0
171,171,9.0
172,172,3.0
173,173,9.0
174,174,4.0
175,175,9.0
176,176,4.0
177,177,8.0
178,178,4.0
179,179,9.0
180,180,4.0
181,181,9.0
182,182,1.0
183,183,7.0
184,184,8.0
185,185,8.0
186,186,0.0
187,187,9.0
188,188,2.0
189,189,8.0
190,190,9.0
191,191,7.0
192,192,7.0
193,193,3.0
194,194,6.0
195,195,7.0
196,196,4.0
197,197,0.0
198,198,7.0
199,199,3.0
200,200,4.0
201,201,3.0
202,202,9.0
203,203,7.0
204,204,2.0
205,205,1.0
206,206,0.0
207,207,3.0
208,208,4.0
209,209,9.0
210,210,0.0
211,211,3.0
212,212,9.0
213,213,3.0
214,214,2.0
215,215,3.0
216,216,7.0
217,217,3.0
218,218,9.0
219,219,7.0
220,220,7.0
221,221,7.0
222,222,4.0
223,223,3.0
224,224,3.0
225,225,1.0
226,226,6.0
227,227,1.0
228,228,7.0
229,229,8.0
230,230,1.0
231,231,9.0
232,232,8.0
233,233,6.0
234,234,4.0
235,235,1.0
236,236,1.0
237,237,1.0
238,238,1.0
239,239,8.0
240,240,9.0
